id	lastName	givenName1	givenName2	dateOfBirth	sex	country	isAlive	locality	postcode	originalContext	recordDate
xo4-eac	CORDLE	NATALIA	CARLA	1974-12-27	F	Australia	Y	Strathdale	3550	null	1999-09-16
3qa-cmr	PONTON	ASTRID	KERRIE	1987-06-25	F	Australia	Y	Mango Hill	4509	null	2012-05-28
dvy-93i	MCCLOSKEY	ANGELIQUE	JENNI	1962-03-10	F	Australia	Y	North Gosford	2250	null	2013-05-23
j7p-47v	HAGGERTY	NEREIDA	STACIE	1957-01-04	F	Australia	Y	Maryland (Newcastle - NSW)	2287	null	2010-06-04
af5-8px	OMAR	CHARLES	KARL	1999-11-12	M	Australia	Y	Pascoe Vale	3044	null	2008-05-05
o5t-7mj	MCCOLLUM	TODD	JOHNATHON	1986-07-06	M	Australia	Y	Glebe (Tas.)	7000	null	2006-01-28
qt5-nch	MAHAN	KIP	RANDALL	1970-11-06	M	Australia	N	North Epping	2121	null	2015-04-06
jcb-4uz	HIRST	RICK	FREDRICK	1956-01-27	M	Australia	Y	Onkaparinga Hills	5162	null	2009-07-03
bya-6f7	CHRISTEN	ALFREDO	ARNOLDO	1959-08-02	M	Australia	Y	San Remo (WA)	6210	null	2009-05-08
56k-d8p	FARQUHAR	LATISHA	LARUE	1987-08-07	F	Australia	Y	Nundah	4012	null	2005-06-26
q3m-892	GEIER	ADRIANNA	PRICILLA	1957-02-18	F	Australia	Y	Nunawading	3131	null	2016-04-03
twm-bve	GARTNER	CARMA	NAN	1973-05-18	F	Australia	Y	Pascoe Vale South	3044	null	2006-09-08
mjt-k8y	ROBINETT	MILTON	DUSTIN	1957-09-18	M	Guadeloupe	Y	Guadeloupe		null	2008-04-26
tia-v5t	CALI	JEFFERSON	WILLIAM	1947-04-01	M	Australia	N	Peakhurst	2210	null	2008-06-19
kg9-e93	ROCHE	MIRIAN	MYRTIS	1989-02-06	F	Australia	Y	Hurstville Grove	2220	null	2009-10-22
qjd-aik	VICE	NICOLE	SUZIE	1984-09-02	F	Australia	Y	Migratory - Offshore - Shipping (SA)	9797	null	2005-04-02
ams-mrh	LINT	ASA	DEE	1980-04-05	M	Australia	Y	Horsley Park	2175	null	2007-01-14
657-4ww	RAO	KEVIN	RANDY	1984-04-06	M	Australia	Y	Hillman	6168	null	2010-10-27
kpp-qf2	ALCORN	GINGER	MEGAN	2001-11-22	F	Australia	Y	Habana	4740	null	2007-08-13
unr-zqs	MOHN	SANTO	MERRILL	1975-03-03	M	Australia	Y	Bambaroo	4850	null	2000-01-11
sdj-w5p	DEAVER	MICAH	DENNY	1947-06-21	M	Vietnam	Y	Vietnam		null	2015-04-06
mcr-jif	DELANO	TWYLA	LOTTIE	1934-07-21	F	Australia	N	Lyndhurst (Vic.)	3975	null	1998-08-25
3eh-kuo	ARSENAULT	ANGLEA	VIOLET	2008-05-24	F	Australia	Y	Cherrybrook	2126	null	2014-05-23
hja-biq	SHELBY	ELDON	MARCEL	1985-11-10	M	Australia	Y	Moama	2731	null	2010-05-01
8tp-peq	TRACEY	EMMITT	GRAHAM	2003-08-09	M	Australia	Y	Forest Lodge	2037	null	2013-12-11
auu-jw5	SCHUTZ	ROSALIND	RHEA	1985-02-15	F	French Guiana	Y	French Guiana		null	2012-06-11
4v8-qnf	LEAF	BOBBIE	NUMBERS	1966-05-16	M	Australia	Y	Clifton Hill	3068	null	2008-12-26
8ex-rky	JENNINGS	CLARA	LILLIAN	1933-09-04	F	Australia	N	Campsie	2194	null	2001-02-12
tfn-o6w	WINGARD	NORENE	ROSEANNE	1986-03-16	F	Australia	Y	Parkwood (Qld)	4214	null	2004-06-15
y3s-iim	HEMINGWAY	BENEDICT	SAMUEL	1996-05-14	M	Australia	Y	Lalor	3075	null	2001-12-24
qw9-ufa	TRANTHAM	JOAN	BRANT	1966-07-20	M	Australia	Y	Karragarra Island	4184	null	2010-08-03
0za-35p	IVERSON	DANA	MARCY	1988-02-14	F	Australia	Y	Hayborough	5211	null	2009-02-24
qab-if6	JONES	CELIA	RENEE	1954-01-26	F	Australia	Y	Gawler (Tas.)	7315	null	2011-06-17
kik-eyv	SIMPKINS	FERNANDO	CORNELIUS	1987-12-07	M	Australia	Y	Asquith	2077	null	2016-11-25
pf5-euj	MAYERS	LILY	JEAN	1935-07-28	F	Australia	N	Wirrina Cove	5204	null	2000-09-27
922-8us	CLINTON	MINDI	DAVID	1992-08-04	F	Australia	Y	Thornleigh	2120	null	2001-06-03
0re-uej	FORCE	SHIRLEY	BART	1957-11-09	M	Malta	Y	Malta		null	1998-02-03
ue3-4bt	BAIR	TONYA	MARGARETTE	1952-11-27	F	Eritrea	Y	Eritrea		null	2000-02-25
ic4-mjj	REICHERT	WINFRED	ODIS	1995-09-12	M	Australia	Y	Cocoroc	3030	null	2004-07-10
d6q-prx	METZGER	ROSCOE	JOSEPH	1986-10-04	M	Australia	Y	Mont Albert	3127	null	2007-04-18
rtr-ja2	MCELROY	GALEN	RICARDO	1989-01-28	M	Australia	Y	South Brisbane	4101	null	2012-09-17
fux-e9w	HAMEL	BLANCHE	NORINE	1983-10-17	F	Australia	Y	Lockleys	5032	null	2003-10-14
s02-ez4	HINDMAN	DONA	JACKLYN	1993-06-24	F	Australia	Y	Greenwith	5125	null	2010-02-27
0i2-43p	STERNBERG	PHYLISS	HUI	2004-04-26	F	Australia	Y	The Mine	4714	null	2010-03-12
y3z-r7e	BLASER	RONNIE	DUDLEY	1987-01-03	M	Germany	Y	Germany		null	2001-03-14
ht6-4iw	TANNER	KARISSA	KATHARINE	1996-10-05	F	Australia	Y	Mawson	2607	null	2001-10-24
mbi-pf0	VILLANI	QUEEN	DORTHA	1956-11-16	F	Australia	Y	Selby	3159	null	2002-08-20
0xi-z3u	COULSON	JANETTE	LATONYA	1954-11-27	F	Australia	Y	Bannister (NSW)	2580	null	2002-10-06
vyq-wu3	BONNETT	NORA	JANEL	1982-01-08	F	Australia	Y	Morton Vale	4343	null	1999-08-06
kbz-vbr	PALUMBO	RANDELL	TRISTAN	1951-04-27	M	Australia	Y	Bentley (WA)	6102	null	2011-06-13
e65-ua8	LOVELADY	MAXIMO	COLBY	1948-05-10	M	Australia	N	Kings Park (Vic.)	3021	null	2017-08-06
36m-th2	MARDIS	DIANA	JULIETA	1977-11-28	F	Australia	Y	Gould Creek	5114	null	1998-02-21
wqy-psk	GUERTIN	PALMA	FERNE	1982-07-14	F	Haiti	Y	Haiti		null	2017-10-24
ppg-4ht	HOCKETT	INEZ	VERNITA	1978-06-06	F	Australia	Y	O'Connor (ACT)	2602	null	2011-07-19
73r-pkp	BOUDREAUX	LEATRICE	VENESSA	1986-10-22	F	Australia	Y	Glenning Valley	2261	null	1998-02-09
xhn-y38	MACLEAN	GRACIELA	LEONOR	1983-07-04	F	Australia	Y	Labrador	4215	null	2013-01-20
acc-qyf	TYRRELL	CONNIE	HILARY	1960-03-06	F	Australia	Y	Beechboro	6063	null	2016-09-26
pmx-qmp	BUNN	KELLY	RILEY	1958-04-01	M	USA	Y	USA		null	2007-07-24
knt-thv	THROWER	JERMAINE	BOOKER	1961-10-22	M	Australia	Y	Mornington (Vic.)	3931	null	2008-11-25
hv2-dha	SCHRAM	NUMBERS	JESSE	1953-12-14	M	Australia	Y	Daleys Point	2257	null	2006-04-23
sy6-9m8	NEILL	DAMARIS	ROSA	1988-10-15	F	Australia	Y	Broken Hill	2880	null	2010-12-10
6os-mfb	FAUCETT	GRANVILLE	MARIA	1995-07-09	M	Australia	Y	Upper Swan	6069	null	2004-11-08
iy0-jsj	VARNADO	EMILY	JACQUELYN	1939-04-08	F	Iraq	Y	Iraq		null	1999-05-06
4cv-7fe	HINDS	CELIA	MOZELLE	1940-12-27	F	Australia	N	Carseldine	4036	null	2004-11-19
ozr-rz5	LUNDY	CATHI	ELANA	1943-12-04	F	Nigeria	Y	Nigeria		null	1998-12-06
9jb-3gv	HOUDE	BEATRIZ	STEFANIE	1978-05-25	F	Australia	Y	Burnside Heights	3023	null	2016-08-15
2wm-iwx	MARTINEAU	MANDI	LEEANN	1986-09-14	F	Australia	Y	Glen Davis	2849	null	1998-05-04
o3b-cmp	CHERRY	DANIAL	JUAN	1995-05-24	M	Australia	Y	Burnside (Qld)	4560	null	2003-07-12
uyp-3yx	KANG	ASHLEE	SANDI	1980-06-21	F	Nigeria	Y	Nigeria		null	2014-10-24
e5y-mxp	BLANTON	INDIA	TAMRA	1949-11-07	F	Australia	Y	Moore Park	2021	null	2006-12-11
wbi-bq8	BRAITHWAITE	LAVERN	LAWRENCE	1946-04-05	M	Cambodia	Y	Cambodia		null	1999-05-22
gs7-sox	CLANCY	JOHNNY	ALPHONSO	1977-04-02	M	Australia	Y	South Brighton	5048	null	2004-03-05
eju-7fg	FONTENOT	ANIBAL	TONEY	1936-08-04	M	Australia	N	Habana	4740	null	2003-03-16
xvp-bib	FREEZE	DARIUS	BUCK	1952-03-09	M	Australia	Y	Cranbourne West	3977	null	2006-11-05
699-ug0	ALEXANDER	COREY	KATHERYN	1984-05-23	F	Australia	Y	Strathfield (NSW)	2135	null	2013-11-25
xhc-st8	DUNAWAY	VELVA	LAWANDA	1997-08-25	F	Cape Verde	Y	Cape Verde		null	2017-12-05
2ts-sj8	ZEMAN	OWEN	COLUMBUS	1967-08-11	M	Australia	Y	Cabramatta West	2166	null	2014-05-01
kbj-c0z	CRIPPEN	KASSANDRA	CARRI	1980-11-26	F	Poland	Y	Poland		null	2006-10-26
fh0-3h2	DOUCET	RUDY	TYRON	1992-03-06	M	Australia	Y	Condell Park	2200	null	2011-11-24
qqy-hse	FAULK	BERNITA	MOZELLE	1974-05-16	F	Australia	Y	Nundah	4012	null	2012-09-11
5h8-ypz	SPEED	DORINDA	TRESSA	1974-11-18	F	Australia	Y	Lalor	3075	null	2015-11-18
2rm-eea	SURBER	SHELTON	NOLAN	1944-01-12	M	Australia	Y	Tullimbar	2527	null	2008-08-15
axr-2qu	WISDOM	PEARLINE	MARITZA	1953-04-11	F	Japan	Y	Japan		null	1998-01-06
swg-dk5	TOWERS	ELLIE	ETTA	1964-10-19	F	Australia	Y	Chiswick	2046	null	2002-06-24
qaq-qru	STINER	ROBBIN	CAROLEE	1984-03-15	F	Australia	Y	Coconut Grove	0810	null	2014-06-21
hht-ivm	ETHRIDGE	JAN	MARYANN	2008-04-13	F	Australia	Y	Kings Park (Vic.)	3021	null	2017-03-23
oez-ti9	FARLOW	STAN	GALEN	1945-08-15	M	Honduras	Y	Honduras		null	2012-10-01
t92-s2k	AXTELL	KENDALL	STUART	1989-12-25	M	Australia	Y	The Entrance	2261	null	2007-02-01
0w6-n5p	BOURKE	OK	MALINDA	1985-07-20	F	Australia	Y	Elizabeth East	5112	null	1998-09-11
52n-3dh	COTTON	CHELSIE	SHEILA	1976-12-15	F	New Zealand	Y	New Zealand		null	2003-11-10
9gj-72c	FETTERS	TAMI	MARTINE	1963-03-19	F	Armenia	Y	Armenia		null	2005-07-22
q8c-zc8	WAYLAND	BENITA	MANDY	1943-12-20	F	Australia	N	Mothar Mountain	4570	null	2012-01-26
0mk-22k	GRISHAM	MALIK	EDWIN	1973-10-25	M	Australia	Y	Hornsby	2077	null	1998-10-18
4pv-kbq	ELBERT	DEIRDRE	BARBARA	1970-11-20	F	Australia	Y	Cawdor (NSW)	2570	null	1999-06-12
nse-iah	JOSEPHSON	TAMI	DENICE	1942-09-07	F	Australia	N	Rochedale South	4123	null	2007-07-05
q7c-4xk	PONTON	VERNICE	HOPE	1970-07-19	F	Australia	Y	Campbell	2612	null	2013-03-15
m4s-to5	BLAKELEY	RUPERT	CHAD	1954-10-20	M	Australia	Y	Eastlakes	2018	null	2012-11-04
k4h-c8b	STRACHAN	SANG	DENIS	1977-12-04	M	Australia	Y	Huntley (Orange - NSW)	2800	null	1999-09-22
06u-s8p	DUBOSE	DOROTHY	ANNETTA	1989-02-20	F	Papua New Guinea	Y	Papua New Guinea		null	2014-06-27
quf-v83	VOIGT	ENID	ALEXIA	1977-05-27	F	Australia	Y	Drouin West	3818	null	2013-12-05
545-kio	GUSTIN	DUANE	DANIAL	1942-12-22	M	Australia	N	Mardi	2259	null	2007-04-14
eva-8tr	CALVERT	ANN	TRENA	1974-02-25	F	Tunisia	N	Tunisia		null	2008-02-18
vru-rc0	FROMM	JOANNE	SIERRA	1954-02-10	F	Australia	N	Hurstville	2220	null	2002-04-06
bht-4gj	FANT	COLIN	MANUEL	1990-07-25	M	Australia	Y	Brassall	4305	null	2009-01-07
cho-boh	GOWAN	KELLI	SHANNAN	1971-07-23	F	South Korea	Y	South Korea		null	2007-08-04
hrb-c0b	ROOT	BRIANNA	KATHRYNE	1965-06-10	F	Australia	Y	Trott Park	5158	null	2001-07-05
pw6-cf3	LANGLEY	LAURA	PATTI	1967-04-25	F	Nigeria	Y	Nigeria		null	2016-05-18
jem-9zk	KAHL	LOUISE	LORRAINE	2012-01-11	F	Australia	Y	Noble Park	3174	null	2017-11-22
k0m-3tz	MESSIER	MARCIE	JAMI	1945-05-01	F	Australia	Y	South Melbourne	3205	null	2014-03-02
fgm-848	KOSKI	OCTAVIA	ROXANA	1969-09-05	F	Australia	Y	Somerton (NSW)	2340	null	2005-11-28
ir5-onc	JUNEAU	JESSIE	PATTIE	1945-11-09	F	Afghanistan	Y	Afghanistan		null	2000-07-05
3mq-twt	OTTO	DREW	DAMON	1945-04-18	M	Lithuania	Y	Lithuania		null	2001-12-19
q56-axt	WEISS	THOMASINA	TONYA	2003-03-28	F	Australia	Y	Dandenong South	3175	null	2011-02-21
gu3-q2x	RAVEN	CATHERINE	SADE	2001-11-03	F	Australia	Y	Graceville	4075	null	2008-07-18
ry5-23c	AZEVEDO	MOSES	ERNEST	1983-04-03	M	Laos	Y	Laos		null	2003-04-05
05e-0mm	RIVARD	GIOVANNI	HANS	2002-04-03	M	Timor Leste	Y	Timor Leste		null	2017-11-23
8cy-hps	SHULER	JILLIAN	CHIQUITA	1965-04-23	F	Australia	Y	St Clair (Penrith - NSW)	2759	null	2008-10-13
sjg-5ap	ROESLER	PASQUALE	ELIAS	1964-12-23	M	Australia	Y	Forth	7310	null	2017-09-10
wpv-7j4	GREATHOUSE	JOLENE	KAY	1973-08-19	F	Colombia	Y	Colombia		null	2016-08-22
wyo-ofr	DOSS	KATHRYNE	DEBRA	1982-11-13	F	Laos	Y	Laos		null	2013-06-10
w44-45p	REECE	DYLAN	ZACK	2000-11-24	M	Australia	Y	Willow Vale (Qld)	4209	null	2015-06-07
kyb-ee3	SAMPLE	IDELLA	ASHELY	1941-03-22	F	Australia	Y	Caboolture South	4510	null	2001-01-01
io9-kiw	HOBAN	ANTHONY	LONG	1965-03-23	M	Australia	Y	Edmonton	4869	null	1998-04-28
abh-vr9	INGLIS	VIKKI	BRIDGETTE	1960-11-21	F	Australia	Y	Urangan	4655	null	2013-07-19
huk-kmp	ZACK	ANABEL	THERESE	1946-10-08	F	Australia	Y	Leschenault	6233	null	2001-02-22
x7k-wqs	NUSSBAUM	GUSSIE	THEA	1961-09-22	F	Australia	Y	Geeveston	7116	null	2006-03-06
dxb-c9k	RAHMAN	DEBBY	PATTI	1995-08-27	F	Georgia	Y	Georgia		null	2002-03-27
sbf-mce	BURSON	BOYCE	ROBT	1961-06-05	M	Australia	Y	Cotswold Hills	4350	null	1999-03-20
4g7-cj7	AMUNDSON	TOMMY	TRACI	1986-12-02	F	Australia	Y	St Albans (Vic.)	3021	null	2017-08-28
ijo-9d0	CHRISTIANSON	ARMANDO	LEON	1995-04-07	M	Australia	Y	Callemondah	4680	null	2004-01-19
2xc-739	FLANNIGAN	ELANA	LACIE	1946-08-23	F	Australia	Y	Yarragon	3823	null	2010-08-26
7sf-z7o	WINGO	ROSEANN	MYRA	2003-06-01	F	Chile	Y	Chile		null	2013-08-22
2qv-3ay	MARANO	LYMAN	OREN	1972-02-01	M	Colombia	Y	Colombia		null	2008-08-18
t27-vjq	GOINGS	TAD	WELDON	1974-12-04	M	Australia	Y	Canley Vale	2166	null	1999-03-13
u8z-tso	BEACHAM	CHRISTOPER	WILL	1957-09-24	M	Australia	Y	Sellicks Hill	5174	null	2011-04-14
p95-muw	BLACKSTONE	ISIDRO	ELDEN	1998-02-23	M	Equatorial Guinea	Y	Equatorial Guinea		null	2004-02-25
td7-uev	HIGA	GALE	ISAIAS	1956-08-04	M	El Salvador	N	El Salvador		null	1999-08-26
5ah-scv	ALDER	KAITLIN	ELYSE	1995-02-08	F	Australia	Y	South Morang	3752	null	2002-12-11
0kw-v9m	TESTER	TONY	KYLA	1946-04-08	F	Italy	N	Italy		null	2013-02-01
4td-7ot	RUNYON	JODIE	KAITLIN	1940-05-01	F	Australia	Y	Bangholme	3175	null	2007-10-28
c6t-dtc	BELLER	NOELIA	GINGER	1983-11-17	F	Australia	Y	Geelong West	3218	null	2004-08-17
c88-zgz	HOEFT	ALBERTO	MONROE	1936-11-11	M	Australia	N	Cardup	6122	null	1999-03-16
u6z-729	HIRST	CHRYSTAL	CRISTY	1969-06-18	F	Brazil	Y	Brazil		null	2010-10-24
9mw-fze	MASSENGILL	LAVERNE	CLETA	2004-05-12	F	Australia	Y	Croydon Hills	3136	null	2017-09-19
uci-7nj	POTTS	ARIEL	ROBIN	1945-03-16	F	Austria	Y	Austria		null	2003-10-07
0sm-9rw	FETTER	HARVEY	LOUIS	1974-08-23	M	Australia	Y	Winchelsea South	3241	null	2016-10-01
dpf-0f0	MEEKINS	LONNY	MASON	2005-03-01	M	Australia	Y	Bardwell Park	2207	null	2011-12-03
y3c-4rk	JUNEAU	MARTA	TRESA	1994-05-15	F	Greece	Y	Greece		null	2008-08-24
w3r-gna	OVERSTREET	PAT	TRINIDAD	1988-08-15	F	Australia	N	Downer	2602	null	2013-05-04
cca-n9f	SPICER	ARLEN	GIOVANNI	1969-09-26	M	Australia	Y	Jerrabomberra	2619	null	2006-11-01
upv-7xz	AMATO	HILARIO	JONATHAN	1962-02-09	M	Nigeria	Y	Nigeria		null	2014-03-28
ruu-40s	GAMMON	HARLAN	STEVEN	1962-05-02	M	Australia	Y	North Curl Curl	2099	null	2003-06-15
3gw-dbt	THIES	COLE	BLAINE	1995-11-01	M	Australia	Y	Stockton (NSW)	2295	null	2015-12-12
mq4-bzq	SEBASTIAN	AVA	CHANDRA	1947-12-20	F	Canada	Y	Canada		null	2015-08-05
qks-te5	TWIGG	TREY	ISIAH	1977-07-15	M	Australia	Y	Maddington	6109	null	2001-06-01
3nz-hup	BOSE	BETTYE	ALLISON	1983-05-11	F	Australia	Y	Woolomin	2340	null	2003-11-03
853-ez0	DUVALL	MARTIN	NEWTON	2004-06-14	M	Australia	Y	Padstow	2211	null	2009-09-01
59o-49o	PEMBERTON	LORAINE	ARTIE	1956-07-14	F	Australia	Y	Cartwright	2168	null	2008-11-04
y4r-8ds	JUSTUS	TRINA	ELSIE	1971-06-15	F	Australia	Y	Toorak Gardens	5065	null	1999-03-14
dfq-bb0	KOENIG	DONALD	TOMAS	1997-10-13	M	Australia	Y	Palmyra (WA)	6157	null	2015-12-07
7kt-vqd	HARNISH	MALCOLM	RENATO	1949-08-21	M	Colombia	Y	Colombia		null	2017-12-10
ryf-esj	DELANO	JARED	TYRON	1956-05-10	M	Australia	Y	Hermit Park	4812	null	2008-02-03
p3z-w3g	MARANO	JACQUELYN	MARYJO	1943-12-28	F	Cameroon	Y	Cameroon		null	1999-10-27
y9z-sz2	PETRICK	TRACY	KRYSTYNA	1947-09-25	F	China	Y	China		null	2016-07-22
px9-eie	BUCKNER	OLEN	EUGENIO	1993-11-03	M	Australia	Y	Darlinghurst	2010	null	2010-07-24
37j-b57	FRANZEN	CAMERON	MARTA	1940-06-24	F	Australia	Y	Wentworthville	2145	null	2005-02-17
pot-mr9	SANDHU	LORENZO	JORGE	1956-05-12	M	Australia	N	Bibra Lake	6163	null	2012-06-04
yr4-ewp	CRABTREE	NANNIE	MICHAELA	1969-01-24	F	Australia	Y	Ridgewood (WA)	6030	null	2011-12-15
r7o-ifr	BLUM	RUTHIE	SANTA	1995-05-01	F	Australia	Y	Point Cook	3030	null	2002-02-25
zxg-csn	WITTEN	MALCOLM	RODOLFO	1950-05-22	M	Australia	Y	Grays Point	2232	null	2000-12-10
csi-rq5	TROTTIER	GAY	MONA	1935-03-11	F	Equatorial Guinea	N	Equatorial Guinea		null	2001-07-11
vgv-cmp	EISENHAUER	GALE	MONIQUE	1961-12-16	F	Australia	Y	Ellangowan (Qld)	4358	null	2014-03-18
8p3-ipc	ALSUP	KRISTY	TANGELA	1961-12-17	F	Australia	Y	Tea Tree	7017	null	2000-12-27
7m7-v4h	WINANS	ELENA	RUTHIE	1977-05-05	F	Australia	Y	Ridleyton	5008	null	2007-08-10
vi0-3mu	SHEPPARD	PERRY	JEFFERSON	1987-11-04	M	Australia	Y	Reynella East	5161	null	2014-07-13
kef-kwd	RAGAN	NETTIE	FLORA	1979-01-17	F	Myanmar/Burma	Y	Myanmar/Burma		null	2007-08-01
pnc-48s	HURLEY	NATHAN	NORBERT	1975-11-20	M	Australia	Y	New Lambton Heights	2305	null	2015-01-08
h5y-esw	HUSTON	TAD	MARCEL	2000-07-27	M	Australia	Y	Huntfield Heights	5163	null	2012-11-14
hhx-259	BURKART	LUCAS	LAWRENCE	2000-08-20	M	Australia	Y	Sippy Downs	4556	null	2015-04-08
8si-zyh	PLUMB	CLEMENT	EUGENIO	1992-01-05	M	Australia	N	South Yarra	3141	null	2017-04-14
3aj-7ne	AXTELL	FRANCISCA	LIDA	1944-03-25	F	Australia	N	Mount Duneed	3216	null	2010-10-10
4ij-9e3	LUNN	CATHI	LARUE	1970-05-26	F	Australia	Y	Canterbury (Vic.)	3126	null	2008-01-12
hic-578	HELM	MEL	JERROLD	1955-04-05	M	Australia	Y	Roleystone	6111	null	2000-03-09
b52-rx0	BADER	NOEMI	FRANCINE	1944-09-04	F	Australia	Y	Moorbel	2804	null	2009-12-15
ecc-shv	FELDMAN	GOLDIE	BRANDI	1997-09-19	F	Australia	Y	Penna	7171	null	2005-11-14
8ya-mso	TATMAN	SIOBHAN	TALIA	1981-09-25	F	Australia	Y	Cabramatta West	2166	null	2006-04-07
ujv-28i	STICKEL	MARCI	KATHERINE	1994-01-24	F	Australia	Y	Spring Hill (Qld)	4000	null	1998-10-10
p4m-5sx	CRADDOCK	ADALBERTO	WILLARD	1959-10-14	M	Australia	Y	Tarago	2580	null	2014-01-02
mqb-vze	BRIDGEWATER	TERENCE	PAT	2003-10-20	M	Australia	Y	Cordeaux Heights	2526	null	2016-11-01
v83-rp0	MARSH	RUEBEN	EDWIN	1956-04-20	M	South Korea	Y	South Korea		null	2011-03-23
rvc-mk9	FONG	DONNY	HANS	1943-09-20	M	Australia	Y	Christie Downs	5164	null	2007-10-18
xw0-ohf	WELTON	JOHN	JACQUES	1983-03-05	M	Australia	Y	Silverdale (NSW)	2752	null	2001-07-10
gzw-xiw	KEENE	DAVINA	LOIS	1981-02-07	F	South Africa	N	South Africa		null	2001-10-14
ye0-ko5	LEA	ELLSWORTH	AUGUSTUS	1954-03-18	M	Australia	Y	Maddington	6109	null	2003-01-28
bj9-ru2	HOSS	TONI	HOLLY	1989-07-20	F	Australia	Y	Wangara	6065	null	2005-07-17
gfr-dd3	FAIN	JILL	AGUSTINA	1972-08-24	F	Chile	Y	Chile		null	2012-04-11
xcz-bhc	RAYMER	ARIANA	LAVERNE	1974-06-03	F	Australia	Y	Moe	3825	null	2004-03-18
4kr-iz2	KUHN	HUGO	MORRIS	1966-09-15	M	Australia	Y	Carlton (Vic.)	3053	null	2017-02-01
zs8-epx	DALESSANDRO	JACQUELYN	GABRIELA	1955-06-17	F	Papua New Guinea	Y	Papua New Guinea		null	2005-12-21
c6j-gpy	BRETON	DELIA	RICHELLE	1960-11-02	F	Australia	Y	South Maclean	4280	null	2007-08-09
4n9-pct	KESSEL	STEWART	DANNIE	1965-06-06	M	Australia	Y	St Kilda East	3183	null	2004-09-22
339-e0z	LORD	ALICIA	JULIANNA	1990-09-19	F	Iraq	Y	Iraq		null	1999-03-22
dzk-rvz	BROWN	JENIFER	XIOMARA	1961-12-22	F	Armenia	Y	Armenia		null	2005-10-04
bwk-pkv	NYBERG	JOELLE	TANGELA	1940-04-24	F	Australia	N	Burringbar	2483	null	2004-03-24
ybx-qq5	SIMON	BETTIE	CHRISTI	1958-03-22	F	Australia	Y	Leeming	6149	null	2001-07-28
uo4-tz8	STANDISH	CANDICE	HERMELINDA	1986-08-06	F	Australia	N	Granville (NSW)	2142	null	2000-01-13
haf-hdi	MARCUM	ANDERSON	MARVIN	1985-06-18	M	Liberia	Y	Liberia		null	2009-05-04
7c2-s0t	NICHOL	MARILYN	VENESSA	1983-03-04	F	Australia	Y	Truganina	3029	null	1998-03-03
mai-t7a	BHATTI	SCOTTY	LORENZO	1988-05-12	M	Australia	Y	Henley	2111	null	1998-05-12
gdd-da5	TOMES	LYMAN	CHAUNCEY	1954-04-24	M	Australia	Y	Willetton	6155	null	2009-03-15
okd-k7f	PITRE	CATHY	ELLIE	1933-11-11	F	Australia	N	Mount Kembla	2526	null	2000-02-08
reo-wch	LINDSLEY	ABRAM	FRED	1992-06-26	M	Australia	N	Toowoon Bay	2261	null	2017-08-19
azi-tx7	DEVAULT	JUDE	LAUREN	1947-01-08	M	Australia	N	Alberton (SA)	5014	null	2015-09-05
hvq-ojr	TRAINOR	LENORA	JEANNINE	1936-06-17	F	Myanmar/Burma	Y	Myanmar/Burma		null	1999-03-13
xpm-o9c	BRUCK	CHASE	RANDALL	1962-02-28	M	Australia	Y	Pascoe Vale	3044	null	2002-04-10
w98-2nj	MCGINNIS	GILBERTO	BRYCE	2001-01-05	M	Australia	N	Naremburn	2065	null	2015-11-26
4xr-t7g	MOLINE	BECKY	MELONY	1986-07-18	F	Australia	Y	Lowesdale	2646	null	2004-02-02
ksg-k5v	BILYEU	MARIANO	COLE	1971-06-28	M	Australia	Y	Capalaba	4157	null	1998-07-24
632-icx	EASTERLY	BLAIR	RENATO	1954-01-27	M	Australia	Y	Saratoga	2251	null	2009-06-15
m73-97q	LOWE	SUSIE	CAITLYN	1993-05-07	F	Australia	Y	Portland West	3305	null	2017-09-20
3jx-d57	BRICKEY	TERENCE	DOUGLASS	1960-03-06	M	Australia	Y	Balwyn North	3104	null	2010-10-23
ty8-984	STEIGER	ROSEMARY	MAUD	1968-04-13	F	Australia	Y	East Toowoomba	4350	null	1999-10-22
73g-snk	FUREY	CORTNEY	HERLINDA	1974-09-23	F	Australia	Y	Mulgoa	2745	null	2016-02-06
3g5-s8a	ENGELBRECHT	AGATHA	MINA	1977-05-13	F	Georgia	Y	Georgia		null	2010-10-04
47v-wcf	CROTEAU	GLENN	RHETT	2007-08-25	M	Azerbaijan	Y	Azerbaijan		null	2012-06-14
hno-pc0	ATWOOD	LEROY	WILFORD	1983-01-26	M	Australia	Y	Fairfield (Vic.)	3078	null	2012-07-01
8td-5qs	DOOLITTLE	FERN	KARIE	1962-02-16	F	Australia	Y	Wentworth Falls	2782	null	2012-06-08
v80-4is	FREDERICKSON	JULIANNA	TRINIDAD	1992-09-01	F	Equatorial Guinea	Y	Equatorial Guinea		null	2012-01-06
7ky-7fi	AITKEN	JOCELYN	CHRISTA	1960-08-23	F	USA	Y	USA		null	2008-09-12
rot-o0i	FONTANA	HERIBERTO	ABRAM	1961-04-21	M	Australia	Y	Clarendon Vale	7019	null	2006-08-11
zu8-jur	SPENCE	RANDY	SARITA	1974-03-07	F	Australia	Y	Silverdale (NSW)	2752	null	2000-03-02
qxb-c3a	MATTHIAS	CLYDE	ROBBY	1977-08-18	M	Australia	Y	Wulguru	4811	null	2007-01-18
