id	lastName	givenName1	givenName2	dateOfBirth	sex	countryOfCitizenship	isAlive	nominalLocality	nominalPostcode	recordDate
007-v5a	RICKETTS	DION	CONNIE	1949-01-18	M	Australia	N	Royal National Park	2233	2012-12-08
7wy-trn	DAS	ALPHONSO	NIGEL	1974-08-10	M	Jordan	Y	Jordan		2005-03-03
w9c-x26	GUNTHER	KERRY	MAXIMO	1994-02-22	M	Australia	Y	Wyong	2259	2015-06-28
sgj-fu5	ROBERT	ROSIE	BEULAH	1979-08-17	F	Australia	Y	Ashcroft	2168	2015-11-07
b6g-0sy	BARRETT	KOREY	WILLIS	1978-03-21	M	Australia	Y	Burbank	4156	2014-07-15
yci-reb	MEACHAM	MARGIE	SUZANNE	1959-07-10	F	Australia	Y	West Beach (SA)	5024	2007-01-25
pop-oif	BLACKMAN	DARA	NOREEN	2003-02-24	F	Australia	Y	Glendambo	5710	2011-12-06
97e-pak	HOLLINGSHEAD	ALICIA	BRITTNEY	1975-04-25	F	Australia	Y	Rozelle	2039	2005-10-15
38m-6vw	FALL	BERNADINE	BIANCA	1989-08-08	F	Malta	Y	Malta		2008-01-01
o2c-7b2	ALEXANDER	ROSARIO	DIEGO	1960-05-22	M	Lesotho	Y	Lesotho		2005-07-07
wab-p7j	WETZEL	SIDNEY	KELLI	1960-01-08	F	Australia	Y	North Parramatta	2151	2011-08-15
y2t-24s	KLIMEK	CHERRY	LINDY	1991-03-11	F	Thailand	Y	Thailand		2017-07-03
r7d-rd6	PURDY	TAMAR	MILISSA	1994-06-23	F	Togo	Y	Togo		2006-04-02
kww-t3w	MUNDELL	DARRICK	GUILLERMO	1967-04-15	M	Liberia	Y	Liberia		2008-10-05
sv7-s2w	TREECE	HUGO	BRUNO	1949-02-08	M	Australia	Y	Cona Creek	4722	2009-09-17
j5w-usw	CONNERS	LURA	CORAL	1958-03-08	F	Australia	Y	Sassafras (Vic.)	3787	2007-09-09
rj4-ynf	SARVER	DINO	ED	1971-04-11	M	Australia	Y	Cobram East	3644	2000-12-11
owx-di4	PAULIN	LOURDES	ELENA	2003-08-12	F	South Africa	Y	South Africa		2012-01-08
9xu-wks	HELSEL	IKE	HOMER	1950-11-15	M	Chad	Y	Chad		1998-11-05
icd-bw5	BADGLEY	WINFORD	VERNON	1969-07-16	M	Australia	Y	Boyup Brook	6244	2001-02-18
r44-trn	WENDEL	LI	KATHLENE	1992-08-09	F	Australia	Y	Shenton Park	6008	2003-11-22
a9f-rbm	NOONE	PEGGY	CARINA	1936-08-09	F	Australia	Y	Burwood Heights	2136	2000-09-21
wph-std	LAVALLE	NORBERT	KEN	1979-11-06	M	Indonesia	Y	Indonesia		2017-07-16
phg-8az	POULIN	PALMER	HERSCHEL	1982-07-13	M	Burkina Faso	Y	Burkina Faso		2005-03-22
d2c-2oq	BOPP	GENE	MELBA	1977-06-23	F	Bulgaria	Y	Bulgaria		2003-10-26
7d6-j57	DOAK	THEO	JED	1980-11-15	M	Australia	Y	Mole River	2372	2004-03-14
yws-273	GILE	KRYSTLE	DANITA	1964-07-01	F	Australia	N	Far Meadow	2535	2003-08-26
imi-yd3	CHILSON	MICAH	ROBBIE	1961-04-16	M	Australia	Y	Apple Tree Creek	4660	2014-02-07
0xt-0be	DICKENSON	BERTIE	JOSEPHINE	1976-05-20	F	Australia	Y	Boolarra South	3870	2001-11-25
7h9-8j5	WENTWORTH	JENNIE	CHRYSTAL	1969-12-05	F	French Guiana	Y	French Guiana		2009-07-25
xiv-sfj	TIMS	CARLO	DORSEY	1984-03-08	M	Jordan	Y	Jordan		2013-02-07
8ny-ncq	STACEY	MIQUEL	CARMINE	1988-05-26	M	Germany	Y	Germany		2000-07-07
8mu-uzj	NICELY	LUPITA	DELFINA	1948-07-10	F	India	N	India		2016-09-13
5eb-2xo	GALLIGAN	VIOLETA	KARYN	2003-12-21	F	Australia	Y	Kensington (NSW)	2052	2017-11-26
ndi-z6n	MARX	CHANTEL	LULA	1995-10-17	F	Australia	Y	Cathcart (Vic.)	3377	2006-06-06
8o8-mf7	SCHREINER	INA	TANISHA	1948-11-04	F	New Zealand	N	New Zealand		2017-09-06
bar-wmg	HULETT	STANFORD	RICKEY	1959-02-04	M	Jordan	Y	Jordan		2006-09-01
93j-mag	EDDY	JERRELL	MILAN	1979-09-13	M	Australia	Y	Minnamurra	2533	2006-02-08
vtg-kp5	BOSWORTH	ROSALIND	PANSY	1938-06-20	F	Australia	Y	Parkwood (WA)	6147	2007-12-28
2pz-7gd	HEARN	DANELLE	SHIRLEE	1992-10-28	F	Australia	Y	Virginia (SA)	5120	2005-08-22
hhp-kke	CHIDESTER	RON	EVAN	1962-10-22	M	Australia	Y	Dunkeld (Qld)	4465	2015-11-06
zb2-f6z	UTZ	MELISA	ALLYSON	1984-12-17	F	Turkey	Y	Turkey		1999-07-09
rw5-x6g	STOCKMAN	DANICA	KIMBERLY	1983-02-25	F	Australia	Y	Eukey	4380	2005-02-18
ed7-amy	FUQUA	HASSAN	CLAUDE	1981-09-13	M	Australia	Y	Newman	6753	2013-01-02
v34-9dv	MASSON	MARSHALL	LONNY	1977-06-11	M	Australia	Y	North Albury	2640	2009-06-27
d9a-bwh	SINGLEY	BRANDON	GARLAND	1967-09-18	M	Australia	N	Georges Hall	2198	2016-06-19
3qo-hio	BARTELL	TAMMI	LETA	1983-01-04	F	Australia	Y	Noble Park North	3174	2008-10-04
cw4-bb8	CANADY	DEB	GISELA	1985-09-22	F	Australia	Y	Yanakie	3960	2011-02-18
xfu-8q6	MILLIS	ANTONE	RICKIE	2003-07-18	M	Cape Verde	N	Cape Verde		2016-01-02
2vu-efo	REAMES	TERESITA	PRUDENCE	1970-04-17	F	Australia	Y	Balmoral (Qld)	4171	2016-03-23
frj-c5u	DOLLAR	HUBERT	WARREN	1978-01-15	M	Indonesia	Y	Indonesia		2012-04-08
bnn-vmk	REISER	TAWNYA	JULIANA	1994-07-20	F	Australia	Y	Frederickton	2440	2012-04-21
o5n-ry6	BANFIELD	BAILEY	SHERRON	1964-03-15	F	Australia	Y	Bicton	6157	2014-02-12
om0-dc6	GASKILL	HAI	JEFFREY	1975-08-17	M	Australia	Y	North Wahroonga	2076	2013-12-28
77o-bwy	CRONE	LOUELLA	DARLEEN	1989-02-14	F	Armenia	Y	Armenia		2012-02-18
gn9-7fv	BOUDREAU	ROD	DONG	1961-03-18	M	Australia	Y	Camperdown (NSW)	2006	2017-10-22
zxs-qta	MCCARTHY	WADE	FRANKLIN	1935-11-06	M	Australia	Y	Williamstown (Vic.)	3016	2002-06-12
yi7-pwf	KILLEN	ED	WALKER	1948-07-19	M	Honduras	Y	Honduras		2017-05-21
4rq-by8	TRACY	HARRY	TRINIDAD	1942-09-16	M	Austria	Y	Austria		2010-07-21
x6o-9v8	LUMPKINS	QUINTON	RICKIE	1968-04-02	M	Australia	Y	Pearcedale	3912	2017-12-17
czc-p97	TROMBLEY	RYAN	RUTHIE	1948-04-22	F	Australia	Y	Dimboola	3414	2012-07-12
4c7-v8w	SHARKEY	LAWERENCE	ROCKY	1965-01-13	M	Australia	Y	Vale Park	5081	1998-04-01
rwy-96f	BARRY	CARYN	LISE	1981-09-12	F	Netherlands	Y	Netherlands		2007-12-22
n7t-88u	ESPIRITU	GUILLERMO	ARCHIE	1949-05-18	M	Australia	Y	Nudgee	4014	2010-01-13
6bh-9n0	SUGGS	NYDIA	MIRTA	1979-05-02	F	Ghana	Y	Ghana		2009-06-05
vvn-x7k	HEIN	MARTIN	JACINTO	1997-10-07	M	Australia	Y	North Brighton	5048	2010-03-08
736-gok	WAID	LYNN	DANNY	1951-12-16	M	Australia	Y	Bendoc	3888	2006-06-16
qwe-3ov	NASSAR	MARCELLUS	ALEJANDRO	1990-11-20	M	Australia	Y	Gordon Park	4031	2014-10-14
683-nzt	BURGESS	MILLARD	JACKSON	2011-12-04	M	Singapore	Y	Singapore		2017-04-14
efs-ykj	COFER	TERESITA	MAI	1980-07-06	F	Gambia	Y	Gambia		2009-07-18
ko6-ffk	ROSCOE	ANTHONY	BUDDY	1971-02-02	M	Lebanon	Y	Lebanon		2001-10-21
w8x-swr	WEATHERFORD	STEVEN	TYLER	1970-02-03	M	Iraq	Y	Iraq		2003-12-09
cug-ot4	MACPHERSON	ALONZO	SCOTTY	1987-05-24	M	Australia	Y	Myrniong	3341	2007-12-04
3qq-g3i	TIMMONS	HARVEY	JULES	1988-05-01	M	Australia	Y	Holsworthy	2173	2008-10-12
cb5-hyc	SIMKINS	LINO	SALVATORE	1953-08-14	M	Australia	Y	Mitchelton	4053	2005-06-12
yf2-9xj	WATHEN	EDNA	YASMIN	1970-03-15	F	New Zealand	Y	New Zealand		2017-01-09
mnu-zmo	BODE	DARRELL	TOD	1972-03-17	M	Cameroon	Y	Cameroon		2012-08-20
ebh-xqx	HOFMANN	HUBERT	NORBERT	1947-05-02	M	Australia	N	Keith Hall	2478	2009-12-03
rc2-bfp	BASILE	BILLIE	JULIANNE	1949-05-04	F	Australia	Y	Yarralumla	2600	2006-08-06
hk9-rxz	SETTLE	CARROLL	BRET	1996-03-16	M	Armenia	Y	Armenia		2005-12-01
syt-cim	MOREHOUSE	MIQUEL	NOLAN	1967-02-20	M	Somalia	Y	Somalia		2010-09-10
kbp-hpi	SAKAI	OLIN	MARSHALL	1963-04-02	M	Australia	Y	Tarrawanna	2518	2012-06-06
iwj-d94	SPERRY	NATHANIAL	CORNELL	1942-07-17	M	Australia	Y	Coondle	6566	1998-06-03
70n-cqt	PEMBERTON	BRITT	BURT	1990-10-03	M	Australia	Y	Harris Park	2150	2000-07-09
bj5-fir	BRAKE	BENTON	ROLLAND	1969-06-17	M	Australia	Y	Tingalpa	4173	1999-09-22
2a8-xjv	BONHAM	CHANG	LAVERN	1937-11-06	M	Australia	Y	West Richmond	5033	2003-02-24
yi8-m9f	MORRILL	MICAELA	GEORGETTE	1976-07-09	F	Australia	Y	Berrambool	2548	2006-05-09
uej-upr	JASON	BARRY	ROGELIO	1962-07-02	M	French Guiana	Y	French Guiana		2002-02-22
rzy-9d5	DAM	ELVERA	KAMI	1960-08-10	F	Finland	Y	Finland		2000-03-18
6r7-rdh	SELPH	ALVIN	EMMITT	1980-12-18	M	Timor Leste	Y	Timor Leste		2015-04-15
ggm-ses	SAILER	GRETA	LAVINA	1941-06-17	F	Australia	Y	Normanville (SA)	5204	2001-12-13
88d-250	BRAY	HOWARD	ALONZO	1980-11-19	M	Australia	Y	Caldermeade	3984	2007-05-21
rxr-z9p	BULLIS	BOBBY	DEMETRIUS	1951-07-07	M	Australia	Y	Guys Hill	3807	2017-06-15
4ps-yg3	MOUNTAIN	ARLEN	DONALD	1968-03-04	M	Australia	Y	Westmeadows	3049	2009-02-04
235-7c8	MAHONEY	BOOKER	ARON	1947-08-04	M	Australia	Y	Waterford West	4133	2002-05-08
ghs-6de	LUCIA	BRETT	KERRY	1967-09-04	M	Australia	Y	Milperra	2214	2010-10-08
3d3-b7h	GRANDY	CLAY	TY	1975-06-12	M	Bulgaria	Y	Bulgaria		2013-04-08
6bc-aqg	SHOWERS	CLAUD	FABIAN	1964-07-06	M	Cameroon	Y	Cameroon		2001-02-07
axr-eeo	ROMAIN	EARNESTINE	CHANTAL	1991-08-16	F	Philippines	Y	Philippines		2006-02-01
cyc-cud	CROUCH	CANDY	BROOKE	1980-04-25	F	Burundi	Y	Burundi		2010-10-27
khu-6h5	ARNESON	REBECCA	LAURIE	1952-11-07	F	Australia	Y	Olympic Dam	5725	2009-02-21
a55-5m5	COLLINS	DOMINIC	EMILIO	1966-02-09	M	Cyprus	Y	Cyprus		2009-07-20
kbf-2s5	MCBRAYER	MILAN	SEBASTIAN	1952-08-14	M	Guadeloupe	Y	Guadeloupe		2004-09-13
j0g-7pb	COWDEN	BRITTANY	HOLLY	1946-09-18	F	French Guiana	Y	French Guiana		2007-11-07
5oj-kdr	RUPPERT	ALFREDO	BENTON	1967-07-09	M	Australia	Y	Mirani	4754	2008-04-20
ywv-8zf	COTTON	SUSIE	LORRI	1955-08-03	F	Australia	Y	Noble Park North	3174	1999-07-23
sww-afd	DONATO	LORRETTA	BEA	1969-07-06	F	Australia	Y	Lochinvar	2321	2012-02-25
sjf-xkx	PETREE	FELTON	DUANE	1995-05-01	M	Australia	Y	Kurnell	2231	2002-11-01
c8j-8gb	GRAYBEAL	JOETTA	ERNA	2003-02-12	F	Australia	Y	Carrington (Newcastle - NSW)	2294	2009-11-07
4z6-voa	PETTY	MARIE	ADRIAN	1997-01-23	F	Brazil	Y	Brazil		2011-05-13
8ac-66g	RAMBO	ROSELYN	MARLENA	1987-08-05	F	Australia	Y	Karawatha	4117	2003-11-01
xqn-ay6	DEPRIEST	STACY	ELDEN	1956-03-09	M	Australia	Y	Rose Park	5067	2015-11-15
pbk-xjj	VELLA	AMY	CHRISTINE	1999-07-08	F	Egypt	Y	Egypt		2017-07-27
vbj-bd4	BLAKE	LANCE	LEE	2005-10-27	M	Togo	Y	Togo		2011-08-24
px3-qiy	IVERSEN	CRISTOPHER	ELMO	2001-12-02	M	Australia	Y	Metung	3904	2010-06-17
983-r5z	ADAMO	JERALD	BRYON	1996-03-06	M	Australia	Y	Yeerongpilly	4105	2002-02-07
yd4-4hq	EDMONDS	VERN	SIMON	1931-06-07	M	France	Y	France		1999-04-25
cs2-o8a	BECHTEL	LELAND	MAURO	1981-12-18	M	Burkina Faso	Y	Burkina Faso		2012-12-26
hvn-v7u	KINARD	SUZANNA	EVIE	1979-04-20	F	Germany	Y	Germany		2000-07-01
5fo-nfg	TOBIN	NATHALIE	MARLYS	1978-03-24	F	Australia	Y	Greenvale (Vic.)	3059	2010-02-12
dw7-979	ZACHARIAS	CRISTINE	BROOK	1960-01-08	F	Australia	Y	Dangar Island	2083	2008-01-27
o5c-wka	CLOSE	JAMAAL	RAYFORD	2007-04-21	M	Australia	Y	Soldiers Point	2317	2017-12-19
d4v-9rk	RAWLINGS	MERRILL	HERIBERTO	1981-01-23	M	Australia	Y	Golden Gully	3555	2015-06-01
9nr-3nb	DOWNER	HILARIO	VINCENT	1982-11-21	M	Georgia	Y	Georgia		2004-10-11
fdz-89j	PELLETIER	JORGE	EUGENE	1981-01-11	M	Australia	Y	Moama	2731	2002-12-01
ojt-gfh	KIMBRELL	MARISSA	CHERIE	1994-07-10	F	Australia	Y	Tumbarumba	2653	2015-04-16
ch8-fo9	GRILL	LAWERENCE	XAVIER	1986-03-26	M	Australia	Y	Morphett Vale	5162	2001-04-03
zvj-r63	ONEAL	SHAD	DARRELL	2003-12-11	M	Australia	Y	Orelia	6167	2007-11-11
tb9-qq8	KEETON	ELLIOTT	HAI	1990-05-26	M	Australia	Y	Mount Martin	4754	2008-05-09
tw0-63a	TRAYLOR	MABEL	KELLI	1967-04-24	F	Ghana	Y	Ghana		2009-01-24
5i3-yd9	PLOTT	LIDA	IVY	1946-02-13	F	Canada	Y	Canada		2003-01-06
m3s-x5n	KAHL	JEROME	HARVEY	1989-02-04	M	Australia	N	Neurea	2820	1999-12-18
th7-xag	HUNTSMAN	TOMMY	NORBERTO	1997-06-08	M	Australia	Y	Bonogin	4213	2017-01-02
wde-xy4	HURLEY	BLAIR	GOLDIE	1984-09-14	F	Australia	Y	Marrickville	2204	2012-03-12
do3-nqo	JOHNSTON	AMOS	THURMAN	1992-07-11	M	Australia	Y	Beaufort (Vic.)	3373	2013-10-28
gc3-khu	RAMAGE	JOYCE	IOLA	1954-10-23	F	Australia	Y	Mill Park	3082	2006-03-11
f7v-xqz	YARBROUGH	WALLY	DEMARCUS	1994-11-23	M	Guyana	Y	Guyana		2013-08-05
497-68v	STEIN	HIRAM	GERMAN	1977-09-14	M	Australia	Y	North Epping	2121	2005-08-12
tnd-0jq	BEDARD	LONG	BERNIE	1951-06-06	M	Australia	Y	Forest Lake	4078	2008-01-28
g0k-89z	HUMMER	RICH	BUCK	1983-03-07	M	Australia	Y	Junee	2663	2007-03-25
0ap-g8t	SCHAEFFER	CLEMENT	DAREN	1982-06-09	M	Australia	Y	Yeerongpilly	4105	2014-10-03
t6e-bro	ROEMER	LUELLA	RAVEN	1978-04-21	F	Finland	Y	Finland		2002-04-02
bfo-k27	GAITHER	DION	LAZARO	1979-08-28	M	Australia	Y	Melton South	3338	2001-06-14
s2u-6ak	DOUTHIT	FELIPE	TAD	1981-05-22	M	Cambodia	Y	Cambodia		2012-12-22
9pb-0rf	HADDOX	NICK	LONNIE	1947-12-07	M	Italy	Y	Italy		2010-07-04
kmq-zgg	SHACKLEFORD	SHELBY	SYLVESTER	1970-04-01	M	Italy	Y	Italy		2009-04-07
7ks-crr	SCUDDER	AMERICA	LORIE	2012-05-22	F	Australia	Y	Piara Waters	6112	2017-01-16
6co-g48	EALY	JACQUELIN	DOLLY	1977-08-19	F	Finland	Y	Finland		2014-11-02
f42-qr7	BILLINGTON	ROLF	KIRK	1963-02-10	M	Australia	Y	Boronia	3155	2000-11-19
kvh-kd3	RAYMOND	CORNELL	FREDRICK	1944-04-23	M	Australia	N	Alawa	0810	2010-04-09
gb0-50a	GREESON	MILFORD	BURTON	1978-04-28	M	Georgia	Y	Georgia		2013-09-02
ttj-sc0	SWINEY	MARGARETE	NOREEN	1949-03-22	F	Australia	Y	Tinaroo	4872	1999-02-14
5rr-zwy	LAUGHLIN	MORGAN	ELIZA	2010-06-16	F	India	Y	India		2015-01-20
tdg-aat	DUCHARME	LISA	FELICA	1976-05-20	F	Australia	Y	Thornlands	4164	2015-04-26
7de-dda	RUSH	RODNEY	RAYMUNDO	1938-12-23	M	Australia	N	Holsworthy	2173	2006-12-21
p3x-crb	SPINKS	ABRAM	SHELTON	1965-05-14	M	Australia	Y	Roxby Downs	5725	2015-07-16
35v-mod	GABRIEL	SAM	ADAN	1965-06-23	M	Australia	Y	East Bowral	2576	2002-12-14
wmj-4hv	HALTER	AHMAD	RICO	1989-09-19	M	Malaysia	Y	Malaysia		2016-07-16
x62-boh	BRADY	ALESIA	HILDA	1998-03-08	F	Guinea	Y	Guinea		2004-09-01
trm-p3f	REICHARD	NOE	LUPE	2004-10-17	M	Australia	Y	Nairne	5252	2017-02-10
0te-vfx	DUNNE	GEORGE	TOMEKA	1984-12-09	F	Japan	Y	Japan		2015-07-06
pgx-eoh	ARENDS	GARTH	WALLY	1951-11-01	M	Singapore	Y	Singapore		2007-08-14
er7-ngb	JENKS	ED	CONNIE	1998-09-10	M	Australia	Y	Paddington (Qld)	4064	2017-01-18
2t5-fp5	ADCOCK	MATTHEW	BRADLEY	2001-08-27	M	Australia	Y	Wulguru	4811	2007-05-11
4s5-hei	JARBOE	ADAN	LENARD	1984-03-07	M	Australia	Y	Penola	5277	2001-10-17
jhw-8fb	JOSEPH	SHASTA	CASSIDY	1942-09-13	F	Australia	Y	Deakin	2600	2011-06-24
z88-4hw	HINRICHS	JACKSON	BILLIE	1984-07-07	M	Australia	Y	Springvale (Vic.)	3171	2007-08-06
k8b-iz9	LAUX	ERWIN	FREDERIC	1951-09-16	M	Guatemala	N	Guatemala		2014-02-11
x6q-dgw	NORCROSS	LEONORA	TAMAR	1967-12-28	F	Australia	Y	Calder Park	3037	2002-11-01
qme-ebn	BARCLAY	STEPHENIE	CECILE	1961-08-14	F	India	Y	India		2009-07-13
jq6-7ho	LANDY	JEFFRY	SCOT	1942-10-09	M	Vietnam	Y	Vietnam		2002-02-13
zps-4xf	TWEEDY	MICHAEL	CORNELIUS	1994-12-25	M	Liberia	Y	Liberia		2010-04-18
e3j-sr9	BEELER	FREEMAN	DOMINICK	1938-08-18	M	Australia	N	Lysterfield	3178	2001-03-04
neh-vf6	ABELL	MARIELA	SHAWN	1988-11-27	F	Malawi	Y	Malawi		2007-09-08
0ts-sqn	CRANDELL	TERESSA	RYAN	2005-07-11	F	Australia	Y	Albion (Brisbane - Qld)	4010	2010-01-13
nia-70b	TUDOR	CHAUNCEY	EFRAIN	1970-07-18	M	Philippines	Y	Philippines		2004-01-07
40e-67x	ROSIER	MYRON	THADDEUS	1947-11-13	M	Colombia	Y	Colombia		2004-02-06
amx-hff	BRANNAN	URSULA	GISELA	1999-03-07	F	Australia	Y	Evelyn	4888	2015-06-09
qma-bhi	SCHELLER	BREANNA	MELBA	1951-05-15	F	Australia	Y	Risdon Vale	7016	1999-05-20
g5j-ht5	SEBRING	AL	TERENCE	1979-07-16	M	Australia	Y	Naracoorte	5271	2004-12-28
ctm-9nw	KEELER	ROSCOE	JEFFREY	1956-03-16	M	Australia	Y	Mildura	3500	2016-05-14
xcr-dkr	HANNON	NOAH	WILBER	1953-07-03	M	South Korea	Y	South Korea		1999-09-21
6pr-6m6	WICKHAM	REFUGIO	ALFRED	1972-07-08	M	Australia	Y	Landers Shoot	4555	2017-07-24
dbj-5bj	SLACK	KIP	OSWALDO	1966-04-13	M	Australia	Y	Archerfield	4108	2012-06-02
vp4-0do	MACK	ETHEL	HEDWIG	1950-11-09	F	Poland	N	Poland		2012-06-20
5bf-8jv	TURNER	CARLENE	SANJUANITA	1990-10-09	F	Togo	Y	Togo		2014-10-28
rd5-rk4	BOTT	MARGARITO	ALEJANDRO	1983-08-16	M	Norway	N	Norway		2004-12-22
v6u-4fb	DENT	JULIET	DELMA	1947-01-05	F	Australia	N	Liston	2372	2013-04-08
p0j-o6y	ONEAL	JADA	AMY	1983-03-10	F	Jordan	Y	Jordan		2012-07-14
wrr-sp0	DYKSTRA	TIFFANI	MARGARETE	1988-07-18	F	Australia	N	Cape Schanck	3939	2004-02-04
p3c-40h	HAWKINSON	KEVEN	WES	1968-09-24	M	Australia	Y	Lyons (NT)	0810	2012-02-04
m6j-705	ANDRE	WILMER	TRISTAN	1988-04-15	M	Australia	Y	Moggill	4070	2017-01-28
rxc-y34	STROM	JARED	WILBER	1935-09-17	M	Samoa	N	Samoa		1998-01-28
ixo-69c	SCHULZ	ISABELLA	HELLEN	1992-02-28	F	Georgia	Y	Georgia		1998-12-23
t0a-miv	STILLMAN	CEDRIC	ANTONIA	1991-06-16	M	Netherlands	Y	Netherlands		2004-05-25
dqz-prf	BOONE	MARTY	RONNY	1968-11-24	M	Cyprus	Y	Cyprus		2015-09-09
vk0-qxm	BILLINGSLEY	STANFORD	ERROL	1959-10-24	M	Australia	Y	Cluden	4811	2005-05-02
mck-tpe	HOWIE	MATTIE	THUY	1988-01-09	F	Australia	Y	Kalkite	2627	2014-01-16
b2w-kmn	KINSEY	STEWART	RORY	1969-08-02	M	Australia	Y	Shortland	2307	2006-04-27
t9t-khz	WHISNANT	CRISTY	MELONY	1995-10-14	F	Australia	Y	Aireys Inlet	3231	2009-11-17
x9z-pav	LEVESQUE	RIGOBERTO	STEWART	1939-04-17	M	Australia	Y	Mount Nelson	7007	2005-09-25
0xt-ku6	HITCHCOCK	DARRON	JOAN	1936-02-28	M	Vietnam	N	Vietnam		2004-02-23
z54-sc3	RICK	BUDDY	GILBERTO	1971-11-27	M	Cambodia	Y	Cambodia		2017-11-28
pqx-t65	MAYER	AHMED	ANDREW	1978-05-24	M	Equatorial Guinea	Y	Equatorial Guinea		2012-03-27
eyy-tiy	WELTER	RHIANNON	SUSIE	1938-07-01	F	Iran	Y	Iran		2005-12-26
07u-cuy	BAUMAN	KOREY	DORSEY	1985-09-11	M	Australia	Y	Port Lincoln	5606	2008-01-05
tij-okc	HENRY	ALEJANDRO	LUIS	2000-11-16	M	Australia	Y	Ormiston	4160	2017-09-22
xep-rw4	WESLEY	MAZIE	VERNIE	2004-11-15	F	Armenia	Y	Armenia		2016-08-03
upn-0dj	HORNBUCKLE	KRAIG	CHANCE	1987-10-22	M	Australia	Y	Main Beach	4217	2000-11-28
nsc-jpn	MASON	NATALIA	ANTONIA	1978-04-10	F	Australia	Y	Fern Bay	2295	2009-05-11
on9-0bz	GLASSCOCK	LAVON	JANINE	1937-02-24	F	Liberia	Y	Liberia		2004-07-25
6cu-go6	PHILPOTT	LAVERNE	ANDRE	1999-05-04	M	Australia	Y	Noosa North Shore	4565	2015-09-25
vi3-bw4	PRUNTY	MARLYN	MARTA	1937-03-08	F	Honduras	Y	Honduras		1998-03-21
a4d-x7f	BYRON	VESTA	JILLIAN	1953-04-07	F	Turkey	Y	Turkey		2009-08-14
wsm-8jr	CAROTHERS	ALPHONSE	SANG	1947-06-15	M	Australia	Y	King Leopold Ranges	6728	2008-12-02
ipv-6rg	SUTTER	LYNDON	COLTON	1969-09-16	M	Togo	Y	Togo		2002-03-15
5jc-2dz	PICARD	SHAUN	NELSON	1980-04-28	M	Australia	Y	Wallaroo Plain	5556	2000-08-28
6hu-d6t	CAINE	CHRISTA	PHYLLIS	1998-10-18	F	Australia	Y	Bendoc	3888	2013-08-09
xuu-j94	SCHOLTEN	VAUGHN	TYRELL	1968-12-23	M	Australia	Y	Chum Creek	3777	2014-09-15
7wr-a9e	RINALDI	ELISA	DALIA	1942-11-26	F	Australia	Y	Kairi	4872	2010-04-22
08f-q69	EMERY	JULIETA	DONNIE	1939-12-28	F	Australia	N	Moorabool	3221	2006-09-13
j4f-ctg	DAVIDS	HOLLI	MARYLEE	1942-12-25	F	Australia	N	Jensen	4818	2007-10-25
jov-dh6	IRONS	KOREY	KIM	1972-10-27	M	Australia	Y	Ashtonfield	2323	2008-04-14
mvh-7zd	DEES	WYATT	EARL	1961-09-20	M	Australia	Y	Wattle Grove (NSW)	2173	2001-06-03
a63-paw	HOSTETLER	SERGIO	THADDEUS	1946-01-10	M	Australia	Y	Goldie	3435	2008-08-14
ax4-cw9	RADKE	DEAN	WALDO	1940-11-09	M	Australia	Y	Catani	3981	1998-11-25
99k-q0v	ELLINGTON	RANDY	BERNARD	1981-08-02	M	Australia	Y	Come By Chance	2832	2008-05-20
obt-9s2	GILLIAN	RENITA	ALTHEA	1994-07-22	F	French Guiana	Y	French Guiana		2015-03-17
g87-fy6	SIDERS	STELLA	JANNA	1984-07-16	F	Australia	Y	Castlemaine	3450	2014-10-09
wep-mcj	GRAY	ROSELYN	ARIEL	1986-06-24	F	Australia	Y	Gordon (ACT)	2906	2009-03-18
2vp-yp6	LIND	LAWERENCE	OSWALDO	1990-03-14	M	Australia	Y	Freeling	5372	2011-09-22
gn5-779	OLIN	ALTHEA	TYRA	1988-10-08	F	Estonia	Y	Estonia		1998-01-15
fb9-iwf	DURAND	MAXINE	DOVIE	1964-09-01	F	Australia	N	Flaxman Valley	5353	2015-02-20
z4x-nui	GRUBB	GRANT	ROLF	1946-09-07	M	Australia	N	Hamersley	6022	2013-07-17
ep5-juf	SENN	MARIBEL	ANGELIA	1980-04-01	F	Norway	Y	Norway		1999-07-26
rjp-0fo	JEFFERS	BLAINE	LAURENCE	1968-10-02	M	Somalia	Y	Somalia		2008-03-05
udi-sww	KIMBROUGH	MODESTO	KENTON	1967-08-14	M	Ghana	Y	Ghana		2014-06-02
r9o-p4d	NEFF	CARMEN	PARKER	1997-03-27	M	Australia	Y	Newmarket	4051	2002-03-21
9rf-c6z	SHERIDAN	SHAYNE	CLETUS	1967-03-25	M	Australia	Y	Narrogin	6312	2015-06-20
qiq-eea	STUMPF	BROOKS	BRADFORD	1993-08-27	M	Australia	Y	Alexandra Hills	4161	2011-04-08
uar-fvn	KARNES	CHERISE	BREANNE	1986-06-21	F	Australia	Y	Sippy Downs	4556	2010-10-28
q29-gmi	ESPOSITO	JERROLD	NORBERTO	1951-02-09	M	Azerbaijan	Y	Azerbaijan		1998-07-16
c4u-c9m	PUTMAN	BRANDON	RAUL	1961-09-11	M	Australia	Y	Blewitt Springs	5171	2012-08-24
szo-g04	LANDRUM	THOMASINA	JENIFER	1948-10-27	F	Australia	Y	Golden Bay	6174	2016-11-10
8mv-mvc	FALLON	FERNANDO	COLE	1956-09-11	M	Gambia	Y	Gambia		1998-05-08
